alunos;genero;idade;escolaridade;ocupacao;interesse_no_curso;experiància_pecuaria;tempo_trabalha_pecuaria;familiarizado_com_Inseminacao;inseminou;simulador;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45;questao_46;questao_47;questao_48;questao_49;questao_50;questao_51;questao_52;questao_53;questao_54;questao_55
A11;1;53;PU;produtor_rural;uso_proprio ;1;35;0;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
A12;1;36;PU;pecuaria;aprender;1;20;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;NT;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
A13;1;53;PU;produtor_rural;uso_proprio ;1;30;0;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;ainda_encontrou_dificuldades;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4
A14;1;37;U;autonomo ;aprender;1;2;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A15;1;32;PU;produtor_rural;aprender;1;13;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A17;2;16;PU;estudante;aprender;1;NA;1;0;sem;NT;P;P;P;P;P;P;NT;NT;NT;P;P;P;P;P;ainda_encontrou_dificuldades;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
A19;1;18;PU;estudante;aprender;1;NA;0;0;sem;P;P;P;P;P;P;P;P;NT;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A20;1;39;PU;vaqueiro;aprender;1;25;1;0;sem;P;P;P;P;P;P;P;P;P;P;NG;NG;NG;NG;NG;teve_alguma_dificuldade;dificuldade_identica;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A21;1;26;PU;vaqueiro;aprerfeicoar;1;10;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4
A24;1;26;U;autonomo ;aprerfeicoar;1;6;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;peáas;peáas;P;P;P;P;5;peáas;P;P;P;P;P;P;P;P;P;P;P;1;5
A25;1;24;PU;vaqueiro;aprender;1;5;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;NT;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A26;1;31;U;autonomo ;aprender;1;20;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A27;1;42;U;autonomo ;aperfeicoar;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;peáas;P;P;P;P;5;manequim;P;P;P;P;P;P;P;P;P;P;P;1;3
A28;2;23;PU;estudante;aprender;0;NA;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_facil_que_peca;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;NT;P;P;sem_opni∆o;sem_opni∆o;P;P;P;P;4;sem_opni∆o;P;P;P;P;P;P;P;NT;P;P;P;1;4
A29;2;54;PU;produtor_rural;aprender;1;20;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;P;P;2;manequim;P;P;P;P;P;P;P;P;P;NG;NG;1;5
A30;2;17;PU;estudante;aperfeicoar;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A31;1;30;U;produtor_rural;uso_proprio ;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;peáas;P;P;P;P;5;peáas;NT;P;P;P;P;P;P;P;P;P;P;1;4
A32;2;18;PU;estudante;aprender;1;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;NT;P;P;P;P;manequim;peáas;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A33;1;21;U;autonomo ;aperfeicoar;1;3;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;5;manequim;P;P;P;P;P;P;P;P;P;P;P;1;5
A34;1;20;PU;vaqueiro;aprender;1;6;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;NT;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;5
A35;1;34;PU;servidor;uso_proprio ;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;NT;NT;P;P;P;P;manequim;sem_opni∆o;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A36;1;17;PU;estudante;aprender;1;NA;1;1;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_facil_que_peca;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;peáas;P;P;P;P;4;peáas;P;P;P;P;P;P;P;P;P;P;P;1;5
A37;1;32;U;empresario;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;NT;NT;NT;NT;NT;NT;NT;NT;ainda_encontrou_dificuldades;mais_facil_que_peca;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;NT;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;1
A38;1;18;PU;pecuaria ;aprender;1;10;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A39;1;24;U;desempregado;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;5
A40;1;18;PU;desempregado;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;NT;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A41;2;17;PU;estudante;aprender;0;NA;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;3;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A42;1;43;PU;autonomo ;aperfeicoar;1;7;0;0;com;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;NT;P;manequim;manequim;P;P;P;P;4;peáas;P;P;P;P;P;P;P;P;P;P;P;1;1
A43;1;27;U;autonomo ;aperfeicoar;1;15;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;NG;P;P;P;P;GP_2;P;P;P;NT;P;NT;P;NT;NT;P;P;manequim;manequim;P;NG;NG;P;1;manequim;P;P;P;P;P;P;P;P;P;P;P;1;5
A44;1;25;U;vaqueiro;aprender;1;10;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;peáas;P;NG;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A45;1;24;U;pecuaria;melhorar_genetica;1;8;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;NT;P;P;P;NT;NG;NT;P;P;NT;P;sem_opni∆o;sem_opni∆o;P;P;NG;P;4;sem_opni∆o;P;P;P;P;P;P;P;P;P;P;P;1;4
A46;2;31;U;zootecnista;aprender;1;9;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;P;P;P;P;P;GP_2;NT;P;NT;NG;P;NT;NT;P;P;P;P;manequim;manequim;P;NT;NT;NT;3;manequim;NG;P;P;P;P;P;P;P;P;P;P;1;3
A47;1;26;PU;vaqueiro;aprender;1;3;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;outro;dificuldade_identica;P;P;P;P;P;GP_2;P;P;NT;P;P;P;P;P;P;P;P;manequim;sem_opni∆o;P;P;P;P;4;sem_opni∆o;4;P;P;P;P;P;P;P;P;P;P;1;5
A48;1;23;U;vaqueiro;aprender;1;2;1;0;com;P;P;P;P;NG;NG;NG;N;N;NG;NG;NG;NG;N;N;teve_alguma_dificuldade;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NT;NT;P;2;manequim;5;P;P;P;P;P;P;P;P;P;P;1;5
A49;2;39;U;produtor_rural;aprender;1;1;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;5;manequim;5;P;P;P;P;P;P;P;P;P;P;1;3
A50;2;23;PU;produtor_rural;uso_proprio ;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;NG;NG;NG;NG;NG;GP_2;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;manequim;manequim;P;NG;NG;2;4;sem_opni∆o;NG;P;P;NG;NT;NT;NT;NT;P;P;P;1;4
A51;2;23;PU;autonomo ;uso_proprio ;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;P;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A52;1;17;PU;estudante;aprender;1;8;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;peáas;manequim;NT;P;NG;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;2
A53;1;18;PU;estudante;aprender;1;4;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;NT;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A54;1;37;PU;vaqueiro;aprender;0;20;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A55;1;31;U;Auxiliar administrativo;aprender;1;2;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A56;1;18;PU;produtor_rural;aprender;1;10;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;NT;NT;NT;P;P;P;P;P;P;manequim;manequim;P;P;P;P;4;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A57;1;20;PU;desempregado;aperfeicoar;1;10;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;5;manequim;P;P;P;P;P;P;P;P;P;P;P;1;5
A58;1;19;PU;autonomo ;aprender;1;1;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NT;NT;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A59;1;18;PU;desempregado;aprender;0;NA;1;0;com;P;P;P;NG;P;P;P;NG;NT;P;P;P;NG;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;NG;NT;NG;4;NT;NT;NT;NG;NG;NT;P;manequim;peáas;P;NG;NG;NT;3;manequim;P;P;P;P;NG;NG;NG;NG;P;P;P;1;2
A60;1;36;PU;vaqueiro;aprender;1;1;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;P;P;5;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A61;2;20;U;desempregado;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NT;P;P;3;manequim;P;P;P;P;P;P;P;P;P;P;P;1;3
A62;2;23;PU;autonomo ;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NT;NT;P;4;peáas;P;P;P;P;P;P;P;P;P;P;P;1;4
A63;2;18;PU;desempregado;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;P;NT;P;5;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A64;1;51;U;autonomo ;aprender;0;NA;0;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;dificuldade_identica;P;P;P;P;P;GP_2;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;NT;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;4
A65;1;28;PU;autonomo ;aprender;1;5;1;0;com;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;P;P;P;P;P;GP_1;P;P;P;P;P;P;P;P;P;P;P;manequim;manequim;P;NG;P;P;2;manequim;P;P;P;P;P;P;P;P;P;P;P;1;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Retirados por terem experiencias com inseminaá∆o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A22;1;24;PU;vaqueiro;aprerfeicoar;1;17;;;;;5 - Concordo plenamente;5 - Concordo plenamente;5 - Concordo plenamente;4 -  Concordo;5 - Concordo plenamente;5 - Concordo plenamente;5 - Concordo plenamente;4 -  Concordo;5 - Concordo plenamente;5 - Concordo plenamente;5 - Concordo plenamente;5 - Concordo plenamente;4 -  Concordo;5 - Concordo plenamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
